Neighborhood,Community Area Code
Albany Park,14
Archer Heights,57
Armour Square,34
Ashburn,70
Auburn Gresham,71
Austin,25
Avalon Park,45
Avondale,21
Belmont Cragin,19
Beverly,72
Bridgeport,60
Brighton Park,58
Burnside,47
Calumet Heights,48
Chatham,44
Chicago Lawn,66
Clearing,64
Douglas,35
Dunning,17
East Garfield Park,27
East Side,52
Edgewater,77
Edison Park,9
Englewood,68
Forest Glen,12
Fuller Park,37
Gage Park,63
Garfield Ridge,56
Grand Boulevard,38
Greater Grand Crossing,69
Hegewisch,55
Hermosa,20
Humboldt Park,23
Hyde Park,41
Irving Park,16
Jefferson Park,11
Kenwood,39
Lake View,6
Lincoln Park,7
Lincoln Square,4
Logan Square,22
Lower West Side,31
McKinley Park,59
Montclare,18
Morgan Park,75
Mount Greenwood,74
Near North Side,8
Near South Side,33
Near West Side,28
New City,61
North Center,5
North Lawndale,29
North Park,13
Norwood Park,10
O'Hare,76
Oakland,36
Portage Park,15
Pullman,50
Riverdale,54
Rogers Park,1
Roseland,49
South Chicago,46
South Deering,51
South Lawndale,30
South Shore,43
The Loop,32
Uptown,3
Washington Heights,73
Washington Park,40
West Elsdon,62
West Englewood,67
West Garfield Park,26
West Lawn,65
West Pullman,53
West Ridge,2
West Town,24
Woodlawn,42
